Season,Episode,Character,Dialogue,Timestamp
1,1,Mark,"Yeah, the old one was better.",00:13:55
1,1,Cobel,Oh… You look awful. You look hungover. Have a seat.,00:14:04
1,1,Cobel,The Board will be joining us remotely today.,00:14:15
1,1,Cobel,I have Mark S. at my desk.,00:14:20
1,1,Mark,"Oh, uh, hello. I assume this is about me acting as department chief today. Okay. Well… I mean, I’ve subbed for Petey before, so it shouldn’t be that big a thing.",00:14:32
1,1,Cobel,Petey is no longer with this company.,00:14:47
1,1,Mark,I’m sorry?,00:14:52
1,1,Cobel,"I said, Petey is no longer with this company.",00:14:54
1,1,Milchick,"I’m sorry, Mark. You guys were one of my favorite office friendships.",00:14:59
1,1,Mark,"I mean, there should have been some notice of this. What happened?",00:15:06
1,1,Milchick,"We’d love to tell you, but unfortunately, non-disclosure policy forbids. We’d be aiding an assault on Petey’s privacy by you.",00:15:10
1,1,Cobel,"Mark, would you place your key card on my desk?",00:15:20
1,1,Cobel,"Mark S., at this time I confer upon you the freedom to serve Kier in the advanced role of Macrodata Refinement department chief. Congratulations.",00:15:29
1,1,Cobel,"Oh, a handshake is available upon request.",00:15:49
1,1,Mark,Thank you. May I have a handshake?,00:15:58
1,1,Cobel,"I know you haven’t run a training before, but Irving will be there to shadow. Just stick to the flowchart and escalate properly depending on dialectics. You’ll be fine.",00:16:07
1,1,Milchick,If you need to take a few minutes…,00:16:17
1,1,Mark,Thank you. I don’t.,00:16:17
1,1,Mark,"Oh, and, uh, thank you to the Board as well.",00:16:23
1,1,Cobel,The Board won’t be contributing to this meeting vocally.,00:16:28
1,1,Irving,"Our last refiner, who was a woman, was…",00:16:43
1,1,Mark,Carol. Dylan’s old seat.,00:16:46
1,1,Irving,Don’t be sad.,00:16:51
1,1,Mark,I’m fine. We’ll be fine.,00:16:52
1,1,Irving,I know you and Petey were close. He was the only one who really appreciated your humor.,00:16:54
1,1,Mark,"Everything’s fine. So, I’m supposed to start with just the input survey? Isn’t that a little weird?",00:17:00
1,1,Milchick,"It’s standard. Just start at 1A and continue by line, based on her answers.",00:17:05
1,1,Mark,"Well, what if I just talk to her?",00:17:10
1,1,Milchick,She deserves to have the information presented to her in the proper order. Just as you had.,00:17:12
1,1,Mark,"“If the trainee becomes agitated and demands to leave, skip to page 19.”",00:17:17
1,1,Irving,She has to ask three times for you to let her.,00:17:24
1,1,Mark,Right. Yes.,00:17:27
1,1,Mark,Image is good.,00:17:33
1,1,Irving,She looks nice.,00:17:36
1,1,Milchick,Okay. You’re all set.,00:17:39
1,1,Milchick,I just love seeing you all come in like this.,00:17:44
1,1,Milchick,Go on ahead when you’re ready.,00:17:48
1,1,Irving,All right.,00:17:53
1,1,Mark,Okay.,00:17:53
1,1,Irving,There you go.,00:18:02
1,1,Mark,Who are you?,00:18:06
1,1,Irving,All right.,00:18:16
1,1,Mark,Who are you?,00:18:19
1,1,Irving,Mark.,00:18:26
1,1,Mark,What?,00:18:26
1,1,Irving,You skipped the preamble.,00:18:28
1,1,Helly,Hello?,00:18:30
1,1,Mark,Shit!,00:18:31
1,1,Mark,"I’m sorry, I got ahead of myself.",00:18:36
1,1,Irving,That’s it.,00:18:42
1,1,Mark,Okay.,00:18:42
1,1,Mark,"Hi there, you on the table. I wonder if you’d mind taking a brief survey.",00:18:45
1,1,Helly,Who is that?,00:18:51
1,1,Mark,"Five questions. Now, I know you’re sleepy, but I just bet it’ll make you feel right as rain.",00:18:53
1,1,Helly,Who’s speaking?,00:19:01
1,1,Mark,“Who’s speaking?”,00:19:02
1,1,Helly,Hey! Open the door!,00:19:17
1,1,Irving,Mark.,00:19:18
1,1,Mark,"I’d be just thrilled to chat, once we’ve run the survey. Shall we begin with question one?",00:19:20
1,1,Helly,I’m not taking your survey.,00:19:24
1,1,Mark,Shall we begin with question one?,00:19:29
1,1,Helly,Let me out of here. Hey!,00:19:32
1,1,Helly,Open the door!,00:19:37
1,1,Irving,She’s not supposed to do that.,00:19:37
1,1,Helly,Hey!,00:19:40
1,1,Irving,She’s going to break in.,00:19:41
1,1,Helly,Let me out!,00:19:43
1,1,Mark,"No, she’s not.",00:19:43
1,1,Milchick,Are you seeing this?,00:19:46
1,1,Cobel,I’m watching.,00:19:48
1,1,Milchick,Should I help?,00:19:51
1,1,Cobel,You should not.,00:19:54
1,1,Mark,That’s a perfect score.,00:20:02
1,1,Mark,"Now, I think I know where our disconnect is coming from.",00:20:05
1,1,Helly,What?,00:20:10
1,1,Mark,"Well, there was a preamble, which I was supposed to read before the survey, to lead into the questions and… But I unfortunately skipped that and went straight into the survey.",00:20:10
1,1,Helly,Am I livestock?,00:20:22
1,1,Mark,I’m sorry?,00:20:24
1,1,Helly,"Like, did you grow me as food and that’s why I have no memories?",00:20:26
1,1,Mark,"You think we grew a full human, gave you consciousness…",00:20:33
1,1,Helly,I don’t know.,00:20:38
1,1,Mark,did your nails and…,00:20:38
1,1,Helly,I don’t know. I don’t know you.,00:20:39
1,1,Mark,"No, you’re not livestock. Good Lord.",00:20:41
1,1,Helly,Then what’s my name?,00:20:44
1,1,Mark,Helly. Your name is Helly. Helly R.,00:20:47
1,1,Mark,Please.,00:20:52
1,1,Mark,"Thank you for taking the welcome survey. I can sense that the questions made you feel afraid or disoriented. Well, the good news is, you’re at an orientation.",00:21:08
1,1,Mark,"You see, you have been hired to a position on the Severed Floor of Lumon Industries.",00:21:25
1,1,Helly,The what floor?,00:21:31
1,1,Mark,"I understand you’re confused about the severance procedure. Before we hop on that, let’s chat about something I bet you have heard of, the work/life balance. To start, imagine yourself as a seesaw.",00:21:44
1,1,Mark,Ow! Fuck!,00:22:01
1,1,Mark,That locks from out there!,00:22:02
1,1,Helly,Let me out!,00:22:04
1,1,Mark,God!,00:22:04
1,1,Mark,Can we just take a beat? Please.,00:22:08
1,1,Mark,Please.,00:22:24
1,1,Mark,"Okay, my name’s Mark. And, uh… So, I…",00:22:47
1,1,Mark,"You know, few years back, I woke up on this table. In this room. And a disembodied voice asked me 19 times who I was.",00:22:53
1,1,Mark,"And when I realized I couldn’t answer, I told that voice that I would find him and kill him.",00:23:07
1,1,Mark,"I don’t know why I said that. I mean, I was scared too.",00:23:16
1,1,Helly,Did you kill the voice?,00:23:20
1,1,Mark,No.,00:23:23
1,1,Mark,"No, that voice’s name was Petey, and he became my best friend.",00:23:25
1,1,Mark,"So, look, you know, there is a life to be had here, Helly.",00:23:32
1,1,Helly,A life to be had?,00:23:36
1,1,Mark,"Well, you see, life, like a seesaw, requi—",00:23:47
1,1,Helly,Let me the fuck out of here!,00:23:56
1,1,Mark,Ask me again.,00:24:07
1,1,Helly,What?,00:24:07
1,1,Mark,You’ve asked twice to be let go. Ask one more time.,00:24:10
1,1,Helly,Mark.,00:24:16
1,1,Mark,Yeah?,00:24:16
1,1,Helly,I would like to leave the building now.,00:24:18
1,1,Mark,"I understand you don’t feel it’s working out for you here at Lumon. While disappointed, I’d hate to keep you somewhere you’re not happy. So, let’s get you outta here.",00:24:23
1,1,Mark,Irv.,00:24:39
1,1,Mark,"The departments are pretty spaced out, but it’ll all fill in one day. They’re planning an expansion.",00:25:03
1,1,Helly,"And I’m, what, part of that?",00:25:10
1,1,Mark,No. You’re a replacement.,00:25:12
1,1,Helly,Replacement for who? Why are you saying that like you hate it?,00:25:15
1,1,Mark,Here’s your stairwell. Just past the bend.,00:25:27
1,1,Helly,You’re not coming with me?,00:25:36
1,1,Mark,I’m not allowed to see.,00:25:38
1,1,Helly,Excuse me?,00:25:39
1,1,Mark,"Well, once you leave, you… I just can’t watch you leave.",00:25:41
1,1,Helly,Of course you can’t.,00:25:53
1,1,Helly,What the hell?,00:26:27
1,1,Helly,Am I dead?,00:27:21
1,1,Mark,No.,00:27:21
1,1,Helly,"This isn’t, like, hell or something?",00:27:24
1,1,Mark,No.,00:27:24
1,1,Helly,Then why the fuck can’t I leave?,00:27:27
1,1,Mark,"Well, you did leave, just now. Out into the stairwell at least.",00:27:29
1,1,Mark,"You left, but you came back.",00:27:32
1,1,Helly,I did not.,00:27:35
1,1,Mark,You did. Come on.,00:27:35
1,1,Cobel,"Weaponizing office equipment on your first day. You are gonna be fun. Look, I do sympathize. I’ve wanted to pummel Mark myself, but I am his employer. And he is your department chief. So we’ll both have to be strong. The good news is, there’s only one part left of your orientation, which Mark can’t possibly derail.",00:27:42
1,1,Helly,Why is that?,00:28:11
1,1,Cobel,Because it’s a video.,00:28:12
1,1,Cobel,"Welcome to Lumon, Helly.",00:28:22
1,1,Cobel,Have a seat.,00:28:50
1,1,Mark,Are you mad at me?,00:29:10
1,1,Cobel,For the incompetence or the disobedience?,00:29:13
1,1,Mark,Well…,00:29:18
1,1,Cobel,Yes!,00:29:18
1,1,Cobel,"You know, my mother was an atheist. She used to say that there was good news and bad news about hell. The good news is, hell is just the product of a morbid human imagination. The bad news is, whatever humans can imagine, they can usually create.",00:29:22
1,1,Mark,I don’t know what that means.,00:29:47
1,1,Cobel,A department like yours can go so good or so bad. You know what makes the difference? The people.,00:29:51
1,1,Milchick,You can have a seat.,00:30:16
1,1,Milchick,"Okay, go ahead and have a seat.",00:30:31
1,1,Helly,"My name is Helly R. I’m making this video roughly two hours before it will be shown to me. I have, of my own free accord, elected to undergo the procedure colloquially known as severance. I give consent for my perceptual chronologies to be surgically split, separating my memories between my work life and my personal life. I acknowledge that, henceforth, my access to my memories will be spatially dictated. I will be unable to access outside recollections whilst on Lumon’s severed basement floor, nor retain work memories upon my ascent. I am aware that this alteration is comprehensive and irreversible. I make these statements freely.",00:30:44
1,1,Milchick,"Okay, that’s a wrap.",00:31:44
1,1,Milchick,Okay. Go ahead.,00:31:54
1,1,Helly,So I’ll never leave here?,00:32:16
1,1,Mark,"You’ll leave at 5:00. Well, actually, they stagger our exits, so 5:15. But it won’t feel like it. Not to this version of you anyway.",00:32:20
1,1,Helly,Do I have a family?,00:32:31
1,1,Mark,You’ll never know.,00:32:33
1,1,Helly,And I have no choice.,00:32:36
1,1,Mark,"Well, every time you find yourself here, it’s because you chose to come back.",00:32:39
1,1,Irving,Hello.,00:33:13
1,1,Mark,Good night.,00:33:52
1,1,Judd,Good night.,00:33:53
1,1,Mark,"“Dear Mark, Whilst carrying boxes in a room today, you slipped on an overhead projector slide and sustained a minor blow to the temple.”",00:34:43
1,1,Helly,Hey!,00:35:20
1,1,Mark,Sorry.,00:35:22
1,1,Helly,Maybe keep your eyes on the icy road.,00:35:25
1,1,Mark,Sorry.,00:35:29
1,1,Television,"Indeed, this gnat will spend much of its three to seven-day life…",00:36:30
1,1,Mark,"No, I know, Mrs. Selvig. It’s just, it was in my space again. Yeah. Well, trash comes tomorrow night. Tonight’s recycling. Yeah, it is weird, but that’s how they do it. And with both yours, there’s no room for…",00:36:52
1,1,Devon,Hey.,00:37:25
1,1,Mark,Hey.,00:37:25
1,1,Devon,Did you forget?,00:37:31
1,1,Mark,"Oh, yeah. Shit.",00:37:37
1,1,Devon,That’s okay.,00:37:38
1,1,Mark,Sorry.,00:37:40
1,1,Devon,That’s fine.,00:37:40
1,1,Devon,"Do you wanna put on pants, and I’ll…",00:37:41
1,1,Mark,I’m wearing pants.,00:37:41
1,1,Devon,meet you in… Those are not pants.,00:37:44
1,1,Mark,"So if there’s no dinner, how is it dinner?",00:37:47
1,1,Devon,Okay.,00:37:51
1,1,Mark,Like…,00:37:51
1,1,Devon,You actually owe me this.,00:37:53
1,1,Mark,Do I?,00:37:55
1,1,Devon,Yep.,00:37:55
1,1,Devon,You remember that time when we were kids and I was a way better sibling than you?,00:37:57
1,1,Mark,Must have slipped my mind.,00:38:00
1,1,Devon,"Also, I know we’re nearing the anniversary, so I just thought maybe you’d wanna be around people.",00:38:04
1,1,Mark,Nope.,00:38:10
1,1,Devon,This is nice. When did you get it?,00:38:13
1,1,Mark,"Something from work, and they apologized.",00:38:15
1,1,Devon,They apologized. Thank God. Did they tack an explanation onto that apology?,00:38:18
1,1,Mark,It’s fine. Got a gift card.,00:38:22
1,1,Devon,You got a gift card. Where’s he going to?,00:38:25
1,1,Mark,I don’t know. Pip’s.,00:38:29
1,1,Devon,"Of course it’s Pip’s. Well, enjoy.",00:38:31
1,1,Mark,"I will, without you.",00:38:34
1,1,Ricken,There’s our captive.,00:38:45
1,1,Mark,"Hi, Rick.",00:38:46
1,1,Ricken,"Ricken. Come on, it’s Ricken.",00:38:46
1,1,Ricken,"You, sir, look at peace.",00:38:50
1,1,Mark,You know.,00:38:50
1,1,Mark,Okay.,00:38:53
1,1,Devon,"Hi, baby.",00:38:53
1,1,Ricken,Hi.,00:38:54
1,1,Patton,"No, what a lot of people overlook, I think, is that life is not food.",00:38:56
1,1,Danise,Right.,00:39:00
1,1,Patton,"You’ve got life,",00:39:00
1,1,Patton,"this complex quality of sentience and activity. And then you’ve got food, which is what?",00:39:02
1,1,Ricken,"Yes, what is it?",00:39:09
1,1,Patton,Fuel.,00:39:09
1,1,Patton,Calories. It’s not the same thing.,00:39:11
1,1,Ricken,"Yes, that is spot on, Patton.",00:39:13
1,1,Rebeck,I definitely agree.,00:39:13
1,1,Devon,"Though, if I’m…Sorry, Mark and my dad used to have “whiskey is life” carved on a flask.",00:39:15
1,1,Mark,True.,00:39:24
1,1,Devon,It was low-hanging fruit.,00:39:24
1,1,Ricken,He did. He was a misdiagnosed alcoholic.,00:39:26
1,1,Danise,"Now, Mark, Ricken told Rebeck and me that you’re a former history professor.",00:39:28
1,1,Mark,Yeah.,00:39:32
1,1,Danise,"So, I’m curious for your take on all of this. The food v life of it.",00:39:33
1,1,Mark,"Well, I’m not sure. I taught mostly about World War I.",00:39:41
1,1,Patton,"Okay. Well, I got one for you. I was just reading this think piece about the comparative levels of violence and warfare throughout history.",00:39:44
1,1,Ricken,Nerd alert.,00:39:53
1,1,Patton,"War porn, I know.",00:39:54
1,1,Patton,"But anyway, in it, he said that the people actually called it the Great War. Apparently, it would have been a faux pas to have called it World War I.",00:39:56
1,1,Ricken,Is that right?,00:40:06
1,1,Mark,"Well, you know, no one would’ve called it World War I ’cause World War II hadn’t happened yet.",00:40:11
1,1,Danise,Wow.,00:40:21
1,1,Ricken,Of course.,00:40:21
1,1,Patton,That’s absolutely right.,00:40:23
1,1,Ricken,Duh.,00:40:23
1,1,Rebeck,That’s so true.,00:40:25
1,1,Devon,This is why we bring this guy.,00:40:26
1,1,Ricken,"Mark’s late wife, Gemma, was an educator as well. Russian literature.",00:40:28
1,1,Rebeck,I love literature.,00:40:32
1,1,Ricken,Right?,00:40:32
1,1,Ricken,But Mark is a Lumon man now.,00:40:35
1,1,Devon,Ricken.,00:40:37
1,1,Patton,Really?,00:40:37
1,1,Mark,Yeah. About two years.,00:40:39
1,1,Rebeck,Do you design the medicines?,00:40:41
1,1,Mark,No.,00:40:41
1,1,Patton,I thought Lumon was more on the tech side of things.,00:40:43
1,1,Danise,They began in the 1800s.,00:40:45
1,1,Ricken,Really?,00:40:45
1,1,Danise,"Topical salves, right?",00:40:47
1,1,Rebeck,What don’t they make?,00:40:49
1,1,Mark,"Yeah, but I’m in the corporate archives division, so…",00:40:51
1,1,Patton,So you know all the dirty secrets.,00:40:54
1,1,Mark,"No, not really.",00:40:57
1,1,Ricken,No.,00:40:57
1,1,Ricken,Mark’s work is sensitive enough as to require the severance procedure.,00:40:59
1,1,Danise,Well.,00:41:07
1,1,Danise,"That’s something, isn’t it?",00:41:10
1,1,Devon,"Yeah. It’s also, I think, something that’s his choice to tell people or not.",00:41:14
1,1,Devon,"Right, Ricken?",00:41:17
1,1,Ricken,"Oh, my God.",00:41:17
1,1,Mark,No. No.,00:41:18
1,1,Ricken,"Oh, God, Mark.",00:41:18
1,1,Ricken,Please forgive me.,00:41:20
1,1,Mark,No. It’s okay. I don’t care.,00:41:20
1,1,Ricken,My apologies.,00:41:22
1,1,Danise,"No, I think it’s fascinating.",00:41:22
1,1,Danise,"I mean, I wish I could do it. I’d just always be thinking about, you know, the other one.",00:41:25
1,1,Mark,"Well, there is no other one. It’s me. I do the job.",00:41:34
1,1,Danise,I just don’t grasp the visceral element. What does it feel like?,00:41:40
1,1,Patton,"Well, it’s simple. One’s memories are bifurcated, so when you’re not at work, you have no recollection of what it is you do there. Did I get that right, Mark?",00:41:48
1,1,Mark,"Well, it’s…",00:41:56
1,1,Danise,"So you walk in at 9:00 a.m.,",00:41:56
1,1,Danise,"and then suddenly it’s 5:00, and you’re leaving?",00:41:59
1,1,Mark,"Well, they stagger us a little, so…",00:42:01
1,1,Danise,They stagger you?,00:42:01
1,1,Patton,"And then, conversely, when you’re at work, you can’t access outside memories. So, in effect, that version of you is trapped there.",00:42:04
1,1,Ricken,Well…,00:42:11
1,1,Patton,"Well, I mean, not trapped, but…",00:42:13
1,1,Mark,But what?,00:42:13
1,1,Mark,"No, no. I’m curious. What were you gonna say? But not trapped, but what? What were you gonna say?",00:42:20
1,1,Danise,"So, I suppose we know where you fall on the congressional goings-on.",00:42:32
1,1,Ricken,"Okay, I think we may be",00:42:35
1,1,Ricken,missing the point here.,00:42:36
1,1,Devon,Yeah.,00:42:36
1,1,Ricken,"The point is that Mark made a decision. And that decision was controversial, ethically and socially. Morally. Scientifically. But, Mark, I stand behind you without reservation.",00:42:39
1,1,Danise,So well said.,00:42:56
1,1,Ricken,Thank you.,00:42:56
1,1,Patton,Absolutely.,00:42:58
1,1,Rebeck,I definitely stand behind Mark.,00:42:58
1,1,Mark,Wow. Thank you. That’s very sweet.,00:43:02
1,1,Ricken,"Well, we’re at the point where, traditionally, I would say something like, “Dig in.” But I must say, I do think that the lack of food has allowed us to already do so on a much deeper level.",00:43:07
1,1,Patton,"Oh, yeah. No, absolutely.",00:43:21
1,1,Ricken,Right?,00:43:21
1,1,Patton,"I was saying, my friend in Lima hasn’t had a food-based dinner event in…",00:43:23
1,1,Devon,"If I give you $3,000, will you forgive me?",00:43:27
1,1,Mark,"Well, because your child is innocent of tonight’s atrocities, I’ll wait until after it’s born to murder you.",00:43:31
1,1,Devon,"Oh, my God. Here you go, buddy.",00:43:40
1,1,Mark,Thank you.,00:43:46
1,1,Devon,"Hey, how’s the good doctor therapy man with that weird little mustache?",00:43:52
1,1,Devon,You’re not going?,00:44:01
1,1,Mark,"Well, the work thing’s helped.",00:44:04
1,1,Devon,Yeah.,00:44:08
1,1,Devon,I’m proud of you for taking that job. I really am. And I think she would’ve been too. I know she would’ve been.,00:44:10
1,1,Devon,I just feel like forgetting about her for eight hours a day isn’t the same thing as healing.,00:44:20
1,1,Devon,"You wanna crash here, since you’re already here?",00:44:34
1,1,Mark,No.,00:44:38
1,1,Devon,Why?,00:44:40
1,1,Mark,Your house smells like pregnancy.,00:44:41
1,1,Devon,"Yeah, I’m just not grasping the visceral element of it.",00:44:47
1,1,Devon,"She is fun, wasn’t she?",00:44:51
1,1,Devon,You’re definitely staying here tonight.,00:44:53
1,1,Mark,"No, I’m not.",00:44:53
1,1,Ricken,"I’m making all the bedsheets myself, so I won’t finish with the big one for some time. But the twin is comfortable, and the pajamas were made on a Baltic handloom, so you’ll sleep well.",00:44:55
1,1,Mark,Thanks. I still don’t quite get the three beds.,00:45:10
1,1,Ricken,Right.,00:45:14
1,1,Devon,Ricken’s colleague told us that switching out the beds as the child grows can wound that child.,00:45:14
1,1,Ricken,Irreparably.,00:45:20
1,1,Ricken,"But if you provide said child with all of its beds upon birth, you allow it to progress across the room at its own rate.",00:45:21
1,1,Mark,Got it. Yeah.,00:45:29
1,1,Ricken,Yeah.,00:45:36
1,1,Ricken,"I think people really enjoyed you tonight, Mark.",00:45:38
1,1,Mark,Good.,00:45:42
1,1,Devon,"All right, baby.",00:45:44
1,1,Devon,"You ready, baby?",00:45:46
1,1,Ricken,Yeah.,00:45:46
1,1,Devon,Let’s go.,00:45:47
1,1,Ricken,Sweet dreams.,00:45:47
1,1,Mark,Thanks.,00:45:48
1,1,Mark,"Good night, milord.",00:45:51
1,1,Devon,"Good night, milady.",00:45:53
1,1,Devon,Hey.,00:47:51
1,1,Mark,Hey.,00:47:53
1,1,Devon,How long you been up?,00:47:54
1,1,Mark,A while.,00:47:56
1,1,Mark,There was a businessman in the yard last night.,00:48:00
1,1,Devon,A businessman?,00:48:04
1,1,Mark,Yeah.,00:48:04
1,1,Devon,Entry-level or management?,00:48:06
1,1,Mark,I’m serious.,00:48:08
1,1,Devon,There was seriously a man in my yard last night?,00:48:09
1,1,Mark,Yeah.,00:48:11
1,1,Devon,Holy shit.,00:48:13
1,1,Mark,"He, you know, looked at me weird, like he knew me.",00:48:15
1,1,Devon,Did the prowler invading my home make you feel seen?,00:48:19
1,1,Mark,So seen.,00:48:21
1,1,Devon,"Well, there’s a bar down the hill. It’s probably just a stumbler. Speaking of which, you still smell like a distillery.",00:48:24
1,1,Mark,"I’m sorry, I just had to drown out the memory of Mom and Dad switching out my beds",00:48:31
1,1,Devon,You’ve been sitting on that one.,00:48:39
1,1,Mark,Hello.,00:49:32
1,1,Mark,"Okay. So, recycling was last night, Mrs. Selvig. Tonight’s garbage. And you keep putting your bin on my side. So…",00:49:35
1,1,Mark,Yeah. Okay.,00:49:47
1,1,Mark,"You know, I actually can’t talk right now. I’m out at dinner. But…",00:49:49
1,1,Mark,"No, by myself.",00:49:54
1,1,Mark,Pip’s Bar and Grille.,00:49:59
1,1,Mark,Excuse me.,00:50:02
1,1,Petey,Hang up. Quickly.,00:50:05
1,1,Mark,"I’m sorry, Mrs. Selvig. They’ve cooked the food, and it’s here.",00:50:12
1,1,Petey,"Hi, kids. What’s for dinner?",00:50:18
1,1,Petey,I’m sorry. You don’t get that reference.,00:50:26
1,1,Mark,Are you following me?,00:50:31
1,1,Petey,Your voice is different here. Worse.,00:50:34
1,1,Mark,"Okay, who the fuck are you?",00:50:40
1,1,Petey,Petey.,00:50:40
1,1,Petey,My name is Petey. I’m from work.,00:50:43
1,1,Mark,"Well, that’s not plausible. Everyone in my department is…",00:50:47
1,1,Petey,Severed. Severed. I was.,00:50:51
1,1,Mark,"Okay. Well, severance is pretty permanent.",00:50:56
1,1,Petey,Yeah. Bypassing the implant wasn’t easy. I had help.,00:50:58
1,1,Mark,"So, what, you were unhappy at work?",00:51:15
