Season,Episode Number,Episode Title,Character,Dialogue,Timestamp,TalkingTo
1,1,Good News About Hell (Transcript),Mark,Five questions.,1900-01-01 00:02:48,Helly
1,1,Good News About Hell (Transcript),Helly,What do I get at the end?,1900-01-01 00:02:51,Mark
1,1,Good News About Hell (Transcript),Mark,Depends on your answers.,1900-01-01 00:02:54,Helly
1,1,Good News About Hell (Transcript),Helly,Okay.,1900-01-01 00:02:59,Mark
1,1,Good News About Hell (Transcript),Mark,"Great. Off we go. Now to start, who are you?",1900-01-01 00:03:01,Helly
1,1,Good News About Hell (Transcript),Helly,That’s the first question?,1900-01-01 00:03:06,Mark
1,1,Good News About Hell (Transcript),Mark,First name will do.,1900-01-01 00:03:09,Helly
1,1,Good News About Hell (Transcript),Helly,I don’t…,1900-01-01 00:03:24,Mark
1,1,Good News About Hell (Transcript),Mark,"It’s okay. If you can’t answer the question, feel free to say, “unknown.”",1900-01-01 00:03:26,Helly
1,1,Good News About Hell (Transcript),Helly,What is this?,1900-01-01 00:03:32,Mark
1,1,Good News About Hell (Transcript),Mark,"Okay, unknown.",1900-01-01 00:03:34,Helly
1,1,Good News About Hell (Transcript),Mark,"Question two, in which US state or territory were you born?",1900-01-01 00:03:35,Helly
1,1,Good News About Hell (Transcript),Helly,Wait.,1900-01-01 00:03:39,Mark
1,1,Good News About Hell (Transcript),Mark,"Which state or territory, please?",1900-01-01 00:03:39,Helly
1,1,Good News About Hell (Transcript),Helly,I don’t know.,1900-01-01 00:03:42,Mark
1,1,Good News About Hell (Transcript),Mark,Unknown.,1900-01-01 00:03:42,Helly
1,1,Good News About Hell (Transcript),Mark,"Question three, please name any US state or territory.",1900-01-01 00:03:44,Helly
1,1,Good News About Hell (Transcript),Helly,Fuck. I…,1900-01-01 00:03:48,Mark
1,1,Good News About Hell (Transcript),Mark,First that comes to mind.,1900-01-01 00:03:48,Helly
1,1,Good News About Hell (Transcript),Helly,I don’t know. Delaware. What is this?,1900-01-01 00:03:49,Mark
1,1,Good News About Hell (Transcript),Mark,Delaware.,1900-01-01 00:03:49,Helly
1,1,Good News About Hell (Transcript),Mark,"Question four, what is Mr. Eagan’s favorite breakfast?",1900-01-01 00:03:52,Helly
1,1,Good News About Hell (Transcript),Helly,I don’t… That one makes no sense.,1900-01-01 00:03:57,Mark
1,1,Good News About Hell (Transcript),Mark,"Right? Unknown. Question five. And as a reminder, this is the final question. To the best of your memory, what is or was the color of your mother’s eyes?",1900-01-01 00:03:58,Helly
1,1,Good News About Hell (Transcript),Helly,"Okay, what’s hap… What’s happening?",1900-01-01 00:04:27,Mark
1,1,Good News About Hell (Transcript),Mark,"Unknown. So that’s unknown, unknown, Delaware, unknown, unknown.",1900-01-01 00:04:29,Helly
1,1,Good News About Hell (Transcript),Helly,What the hell did you do to me?,1900-01-01 00:04:38,Mark
1,1,Good News About Hell (Transcript),Mark,That’s a perfect score.,1900-01-01 00:04:51,Helly
1,1,Good News About Hell (Transcript),Florence,Are you ready for Mr. Scout?,1900-01-01 00:06:49,Judd
1,1,Good News About Hell (Transcript),Florence,Thank you.,1900-01-01 00:07:00,Judd
1,1,Good News About Hell (Transcript),Florence,Go ahead.,1900-01-01 00:07:05,Judd
1,1,Good News About Hell (Transcript),Judd,Mr. Scout.,1900-01-01 00:08:31,Mark
1,1,Good News About Hell (Transcript),Mark,"Hi, Judd.",1900-01-01 00:08:33,Judd
1,1,Good News About Hell (Transcript),Judd,"All right, see you this evening.",1900-01-01 00:08:44,Mark
1,1,Good News About Hell (Transcript),Mark,"Yep, see you soon.",1900-01-01 00:08:44,Judd
1,1,Good News About Hell (Transcript),Dylan,You’re breathing shitty.,1900-01-01 00:11:16,Mark
1,1,Good News About Hell (Transcript),Mark,Sorry.,1900-01-01 00:11:16,Dylan
1,1,Good News About Hell (Transcript),Dylan,You sick?,1900-01-01 00:11:17,Mark
1,1,Good News About Hell (Transcript),Mark,Maybe. Petey was sniffling yesterday.,1900-01-01 00:11:19,Dylan
1,1,Good News About Hell (Transcript),Dylan,"If you breathe on me, I’ll rip your larynx out.",1900-01-01 00:11:21,Mark
1,1,Good News About Hell (Transcript),Mark,Wow. That went right to ten. I feel like ripping out my germ-ridden larynx would get you sicker than just me breathing on you.,1900-01-01 00:11:23,Dylan
1,1,Good News About Hell (Transcript),Mark,Oh.,1900-01-01 00:11:33,Dylan
1,1,Good News About Hell (Transcript),Dylan,"Petey better not be out for the day, ’cause I’m about zero seconds from wrapping the Tumwater file, and he needs to process it.",1900-01-01 00:11:35,Mark
1,1,Good News About Hell (Transcript),Mark,I think he’s out.,1900-01-01 00:11:40,Dylan
1,1,Good News About Hell (Transcript),Dylan,"If he doesn’t process today, they won’t know until Tuesday of next week. It’s typical Lumon bullshit.",1900-01-01 00:11:43,Mark
1,1,Good News About Hell (Transcript),Mark,"Careful, guy.",1900-01-01 00:11:47,Irving
1,1,Good News About Hell (Transcript),Irving,"Hi, kids. What’s for dinner?",1900-01-01 00:11:50,Dylan
1,1,Good News About Hell (Transcript),Dylan,"Goddamn it, Irv. We warned you.",1900-01-01 00:11:52,Irving
1,1,Good News About Hell (Transcript),Irving,About the greeting? You were kidding.,1900-01-01 00:11:54,Dylan
1,1,Good News About Hell (Transcript),Dylan,"No, we sincerely hate it. How many reasons did we come up with?",1900-01-01 00:11:55,Irving
1,1,Good News About Hell (Transcript),Mark,Eight.,1900-01-01 00:12:00,Dylan
1,1,Good News About Hell (Transcript),Dylan,Eight reasons.,1900-01-01 00:12:00,Mark
1,1,Good News About Hell (Transcript),Dylan,Chief among them the latent condescension.,1900-01-01 00:12:02,Mark
1,1,Good News About Hell (Transcript),Mark,"And it’s confusing. Like, did the kids make you dinner in this scenario? Or…",1900-01-01 00:12:05,Dylan
1,1,Good News About Hell (Transcript),Dylan,Yeah. What kind of a shit dad are you?,1900-01-01 00:12:08,Mark
1,1,Good News About Hell (Transcript),Irving,No Petey?,1900-01-01 00:12:12,Mark
1,1,Good News About Hell (Transcript),Mark,We think he’s sick.,1900-01-01 00:12:12,Irving
1,1,Good News About Hell (Transcript),Irving,"Oh, no. And Dylan’s about to wrap Tumwater today.",1900-01-01 00:12:14,Mark
1,1,Good News About Hell (Transcript),Dylan,"Yeah, and if he doesn’t see me finish, I might get passed over for refiner of the quarter and miss out on my goddamn waffle party.",1900-01-01 00:12:17,Irving
1,1,Good News About Hell (Transcript),Irving,"Grumble, grumble. These perks are so out of hand. When we’d process a file in the old days, they’d shake our hand and fill up the creamer.",1900-01-01 00:12:23,Dylan
1,1,Good News About Hell (Transcript),Dylan,I still don’t buy they actually incentivized creamer.,1900-01-01 00:12:30,Irving
1,1,Good News About Hell (Transcript),Irving,"They did. And back then, we were grateful for it.",1900-01-01 00:12:32,Dylan
1,1,Good News About Hell (Transcript),Dylan,"That’s fucked, dude.",1900-01-01 00:12:35,Irving
1,1,Good News About Hell (Transcript),Irving,"Yes, very fucked. To put in an honest day’s work and not get a children’s breakfast in return.",1900-01-01 00:12:37,Dylan
1,1,Good News About Hell (Transcript),Dylan,Irv’s got claws today.,1900-01-01 00:12:43,Milchick
1,1,Good News About Hell (Transcript),Milchick,"Good morning, Macrodata Refinement.",1900-01-01 00:12:46,Dylan
1,1,Good News About Hell (Transcript),Irving,"Hi, Mr. Milchick.",1900-01-01 00:12:49,Milchick
1,1,Good News About Hell (Transcript),Milchick,"Mark, could I have a word?",1900-01-01 00:12:51,Irving
1,1,Good News About Hell (Transcript),Milchick,"Last time you saw Ms. Cobel, she was in her old office. Now she’s in her new office. It’s a completely different office.",1900-01-01 00:13:23,Mark
1,1,Good News About Hell (Transcript),Mark,What’s this about?,1900-01-01 00:13:31,Milchick
1,1,Good News About Hell (Transcript),Milchick,"She’d never say so, but I know a compliment about the office would just make her day.",1900-01-01 00:13:32,Mark
1,1,Good News About Hell (Transcript),Cobel,Mark? Come in. Shut the thing.,1900-01-01 00:13:47,Mark
1,1,Good News About Hell (Transcript),Mark,Nice office.,1900-01-01 00:13:51,Cobel
1,1,Good News About Hell (Transcript),Cobel,It’s horrid.,1900-01-01 00:13:52,Mark
1,1,Good News About Hell (Transcript),Mark,"Yeah, the old one was better.",1900-01-01 00:13:55,Cobel
1,1,Good News About Hell (Transcript),Cobel,Oh… You look awful. You look hungover. Have a seat.,1900-01-01 00:14:04,Mark
1,1,Good News About Hell (Transcript),Cobel,The Board will be joining us remotely today.,1900-01-01 00:14:15,Mark
1,1,Good News About Hell (Transcript),Cobel,I have Mark S. at my desk.,1900-01-01 00:14:20,Mark
1,1,Good News About Hell (Transcript),Mark,"Oh, uh, hello. I assume this is about me acting as department chief today. Okay. Well… I mean, I’ve subbed for Petey before, so it shouldn’t be that big a thing.",1900-01-01 00:14:32,Cobel
1,1,Good News About Hell (Transcript),Cobel,Petey is no longer with this company.,1900-01-01 00:14:47,Mark
1,1,Good News About Hell (Transcript),Mark,I’m sorry?,1900-01-01 00:14:52,Cobel
1,1,Good News About Hell (Transcript),Cobel,"I said, Petey is no longer with this company.",1900-01-01 00:14:54,Mark
1,1,Good News About Hell (Transcript),Milchick,"I’m sorry, Mark. You guys were one of my favorite office friendships.",1900-01-01 00:14:59,Cobel
1,1,Good News About Hell (Transcript),Mark,"I mean, there should have been some notice of this. What happened?",1900-01-01 00:15:06,Milchick
1,1,Good News About Hell (Transcript),Milchick,"We’d love to tell you, but unfortunately, non-disclosure policy forbids. We’d be aiding an assault on Petey’s privacy by you.",1900-01-01 00:15:10,Mark
1,1,Good News About Hell (Transcript),Cobel,"Mark, would you place your key card on my desk?",1900-01-01 00:15:20,Milchick
1,1,Good News About Hell (Transcript),Cobel,"Mark S., at this time I confer upon you the freedom to serve Kier in the advanced role of Macrodata Refinement department chief. Congratulations.",1900-01-01 00:15:29,Milchick
1,1,Good News About Hell (Transcript),Cobel,"Oh, a handshake is available upon request.",1900-01-01 00:15:49,Mark
1,1,Good News About Hell (Transcript),Mark,Thank you. May I have a handshake?,1900-01-01 00:15:58,Cobel
1,1,Good News About Hell (Transcript),Cobel,"I know you haven’t run a training before, but Irving will be there to shadow. Just stick to the flowchart and escalate properly depending on dialectics. You’ll be fine.",1900-01-01 00:16:07,Mark
1,1,Good News About Hell (Transcript),Milchick,If you need to take a few minutes…,1900-01-01 00:16:17,Mark
1,1,Good News About Hell (Transcript),Mark,Thank you. I don’t.,1900-01-01 00:16:17,Milchick
1,1,Good News About Hell (Transcript),Mark,"Oh, and, uh, thank you to the Board as well.",1900-01-01 00:16:23,Cobel
1,1,Good News About Hell (Transcript),Cobel,The Board won’t be contributing to this meeting vocally.,1900-01-01 00:16:28,Mark
1,1,Good News About Hell (Transcript),Irving,"Our last refiner, who was a woman, was…",1900-01-01 00:16:43,Mark
1,1,Good News About Hell (Transcript),Mark,Carol. Dylan’s old seat.,1900-01-01 00:16:46,Irving
1,1,Good News About Hell (Transcript),Irving,Don’t be sad.,1900-01-01 00:16:51,Mark
1,1,Good News About Hell (Transcript),Mark,I’m fine. We’ll be fine.,1900-01-01 00:16:52,Irving
1,1,Good News About Hell (Transcript),Irving,I know you and Petey were close. He was the only one who really appreciated your humor.,1900-01-01 00:16:54,Mark
1,1,Good News About Hell (Transcript),Mark,"Everything’s fine. So, I’m supposed to start with just the input survey? Isn’t that a little weird?",1900-01-01 00:17:00,Milchick
1,1,Good News About Hell (Transcript),Milchick,"It’s standard. Just start at 1A and continue by line, based on her answers.",1900-01-01 00:17:05,Mark
1,1,Good News About Hell (Transcript),Mark,"Well, what if I just talk to her?",1900-01-01 00:17:10,Milchick
1,1,Good News About Hell (Transcript),Milchick,She deserves to have the information presented to her in the proper order. Just as you had.,1900-01-01 00:17:12,Mark
1,1,Good News About Hell (Transcript),Mark,"“If the trainee becomes agitated and demands to leave, skip to page 19.”",1900-01-01 00:17:17,Milchick
1,1,Good News About Hell (Transcript),Irving,She has to ask three times for you to let her.,1900-01-01 00:17:24,Mark
1,1,Good News About Hell (Transcript),Mark,Right. Yes.,1900-01-01 00:17:27,Irving
1,1,Good News About Hell (Transcript),Mark,Image is good.,1900-01-01 00:17:33,Irving
1,1,Good News About Hell (Transcript),Irving,She looks nice.,1900-01-01 00:17:36,Mark
1,1,Good News About Hell (Transcript),Milchick,Okay. You’re all set.,1900-01-01 00:17:39,Irving
1,1,Good News About Hell (Transcript),Milchick,I just love seeing you all come in like this.,1900-01-01 00:17:44,Irving
1,1,Good News About Hell (Transcript),Milchick,Go on ahead when you’re ready.,1900-01-01 00:17:48,Irving
1,1,Good News About Hell (Transcript),Irving,All right.,1900-01-01 00:17:53,Mark
1,1,Good News About Hell (Transcript),Mark,Okay.,1900-01-01 00:17:53,Irving
1,1,Good News About Hell (Transcript),Irving,There you go.,1900-01-01 00:18:02,Mark
1,1,Good News About Hell (Transcript),Mark,Who are you?,1900-01-01 00:18:06,Irving
1,1,Good News About Hell (Transcript),Irving,All right.,1900-01-01 00:18:16,Mark
1,1,Good News About Hell (Transcript),Mark,Who are you?,1900-01-01 00:18:19,Irving
1,1,Good News About Hell (Transcript),Irving,Mark.,1900-01-01 00:18:26,Mark
1,1,Good News About Hell (Transcript),Mark,What?,1900-01-01 00:18:26,Irving
1,1,Good News About Hell (Transcript),Irving,You skipped the preamble.,1900-01-01 00:18:28,Mark
1,1,Good News About Hell (Transcript),Helly,Hello?,1900-01-01 00:18:30,Mark
1,1,Good News About Hell (Transcript),Mark,Shit!,1900-01-01 00:18:31,Helly
1,1,Good News About Hell (Transcript),Mark,"I’m sorry, I got ahead of myself.",1900-01-01 00:18:36,Helly
1,1,Good News About Hell (Transcript),Irving,That’s it.,1900-01-01 00:18:42,Mark
1,1,Good News About Hell (Transcript),Mark,Okay.,1900-01-01 00:18:42,Irving
1,1,Good News About Hell (Transcript),Mark,"Hi there, you on the table. I wonder if you’d mind taking a brief survey.",1900-01-01 00:18:45,Irving
1,1,Good News About Hell (Transcript),Helly,Who is that?,1900-01-01 00:18:51,Mark
1,1,Good News About Hell (Transcript),Mark,"Five questions. Now, I know you’re sleepy, but I just bet it’ll make you feel right as rain.",1900-01-01 00:18:53,Helly
1,1,Good News About Hell (Transcript),Helly,Who’s speaking?,1900-01-01 00:19:01,Mark
1,1,Good News About Hell (Transcript),Mark,“Who’s speaking?”,1900-01-01 00:19:02,Helly
1,1,Good News About Hell (Transcript),Helly,Hey! Open the door!,1900-01-01 00:19:17,Irving
1,1,Good News About Hell (Transcript),Irving,Mark.,1900-01-01 00:19:18,Helly
1,1,Good News About Hell (Transcript),Mark,"I’d be just thrilled to chat, once we’ve run the survey. Shall we begin with question one?",1900-01-01 00:19:20,Irving
1,1,Good News About Hell (Transcript),Helly,I’m not taking your survey.,1900-01-01 00:19:24,Mark
1,1,Good News About Hell (Transcript),Mark,Shall we begin with question one?,1900-01-01 00:19:29,Helly
1,1,Good News About Hell (Transcript),Helly,Let me out of here. Hey!,1900-01-01 00:19:32,Mark
1,1,Good News About Hell (Transcript),Helly,Open the door!,1900-01-01 00:19:37,Irving
1,1,Good News About Hell (Transcript),Irving,She’s not supposed to do that.,1900-01-01 00:19:37,Helly
1,1,Good News About Hell (Transcript),Helly,Hey!,1900-01-01 00:19:40,Irving
1,1,Good News About Hell (Transcript),Irving,She’s going to break in.,1900-01-01 00:19:41,Helly
1,1,Good News About Hell (Transcript),Helly,Let me out!,1900-01-01 00:19:43,Mark
1,1,Good News About Hell (Transcript),Mark,"No, she’s not.",1900-01-01 00:19:43,Helly
1,1,Good News About Hell (Transcript),Milchick,Are you seeing this?,1900-01-01 00:19:46,Cobel
1,1,Good News About Hell (Transcript),Cobel,I’m watching.,1900-01-01 00:19:48,Milchick
1,1,Good News About Hell (Transcript),Milchick,Should I help?,1900-01-01 00:19:51,Cobel
1,1,Good News About Hell (Transcript),Cobel,You should not.,1900-01-01 00:19:54,Milchick
1,1,Good News About Hell (Transcript),Mark,That’s a perfect score.,1900-01-01 00:20:02,Cobel
1,1,Good News About Hell (Transcript),Mark,"Now, I think I know where our disconnect is coming from.",1900-01-01 00:20:05,Helly
1,1,Good News About Hell (Transcript),Helly,What?,1900-01-01 00:20:10,Mark
1,1,Good News About Hell (Transcript),Mark,"Well, there was a preamble, which I was supposed to read before the survey, to lead into the questions and… But I unfortunately skipped that and went straight into the survey.",1900-01-01 00:20:10,Helly
1,1,Good News About Hell (Transcript),Helly,Am I livestock?,1900-01-01 00:20:22,Mark
1,1,Good News About Hell (Transcript),Mark,I’m sorry?,1900-01-01 00:20:24,Helly
1,1,Good News About Hell (Transcript),Helly,"Like, did you grow me as food and that’s why I have no memories?",1900-01-01 00:20:26,Mark
1,1,Good News About Hell (Transcript),Mark,"You think we grew a full human, gave you consciousness…",1900-01-01 00:20:33,Helly
1,1,Good News About Hell (Transcript),Helly,I don’t know.,1900-01-01 00:20:38,Mark
1,1,Good News About Hell (Transcript),Mark,did your nails and…,1900-01-01 00:20:38,Helly
1,1,Good News About Hell (Transcript),Helly,I don’t know. I don’t know you.,1900-01-01 00:20:39,Mark
1,1,Good News About Hell (Transcript),Mark,"No, you’re not livestock. Good Lord.",1900-01-01 00:20:41,Helly
1,1,Good News About Hell (Transcript),Helly,Then what’s my name?,1900-01-01 00:20:44,Mark
1,1,Good News About Hell (Transcript),Mark,Helly. Your name is Helly. Helly R.,1900-01-01 00:20:47,Helly
1,1,Good News About Hell (Transcript),Mark,Please.,1900-01-01 00:20:52,Helly
1,1,Good News About Hell (Transcript),Mark,"Thank you for taking the welcome survey. I can sense that the questions made you feel afraid or disoriented. Well, the good news is, you’re at an orientation.",1900-01-01 00:21:08,Helly
1,1,Good News About Hell (Transcript),Mark,"You see, you have been hired to a position on the Severed Floor of Lumon Industries.",1900-01-01 00:21:25,Helly
1,1,Good News About Hell (Transcript),Helly,The what floor?,1900-01-01 00:21:31,Mark
1,1,Good News About Hell (Transcript),Mark,"I understand you’re confused about the severance procedure. Before we hop on that, let’s chat about something I bet you have heard of, the work/life balance. To start, imagine yourself as a seesaw.",1900-01-01 00:21:44,Helly
1,1,Good News About Hell (Transcript),Mark,Ow! Fuck!,1900-01-01 00:22:01,Helly
1,1,Good News About Hell (Transcript),Mark,That locks from out there!,1900-01-01 00:22:02,Helly
1,1,Good News About Hell (Transcript),Helly,Let me out!,1900-01-01 00:22:04,Mark
1,1,Good News About Hell (Transcript),Mark,God!,1900-01-01 00:22:04,Helly
1,1,Good News About Hell (Transcript),Mark,Can we just take a beat? Please.,1900-01-01 00:22:08,Helly
1,1,Good News About Hell (Transcript),Mark,Please.,1900-01-01 00:22:24,Helly
1,1,Good News About Hell (Transcript),Mark,"Okay, my name’s Mark. And, uh… So, I…",1900-01-01 00:22:47,Helly
1,1,Good News About Hell (Transcript),Mark,"You know, few years back, I woke up on this table. In this room. And a disembodied voice asked me 19 times who I was.",1900-01-01 00:22:53,Helly
1,1,Good News About Hell (Transcript),Mark,"And when I realized I couldn’t answer, I told that voice that I would find him and kill him.",1900-01-01 00:23:07,Helly
1,1,Good News About Hell (Transcript),Mark,"I don’t know why I said that. I mean, I was scared too.",1900-01-01 00:23:16,Helly
1,1,Good News About Hell (Transcript),Helly,Did you kill the voice?,1900-01-01 00:23:20,Mark
1,1,Good News About Hell (Transcript),Mark,No.,1900-01-01 00:23:23,Helly
1,1,Good News About Hell (Transcript),Mark,"No, that voice’s name was Petey, and he became my best friend.",1900-01-01 00:23:25,Helly
1,1,Good News About Hell (Transcript),Mark,"So, look, you know, there is a life to be had here, Helly.",1900-01-01 00:23:32,Helly
1,1,Good News About Hell (Transcript),Helly,A life to be had?,1900-01-01 00:23:36,Mark
1,1,Good News About Hell (Transcript),Mark,"Well, you see, life, like a seesaw, requi—",1900-01-01 00:23:47,Helly
1,1,Good News About Hell (Transcript),Helly,Let me the fuck out of here!,1900-01-01 00:23:56,Mark
1,1,Good News About Hell (Transcript),Mark,Ask me again.,1900-01-01 00:24:07,Helly
1,1,Good News About Hell (Transcript),Helly,What?,1900-01-01 00:24:07,Mark
1,1,Good News About Hell (Transcript),Mark,You’ve asked twice to be let go. Ask one more time.,1900-01-01 00:24:10,Helly
1,1,Good News About Hell (Transcript),Helly,Mark.,1900-01-01 00:24:16,Mark
1,1,Good News About Hell (Transcript),Mark,Yeah?,1900-01-01 00:24:16,Helly
1,1,Good News About Hell (Transcript),Helly,I would like to leave the building now.,1900-01-01 00:24:18,Mark
1,1,Good News About Hell (Transcript),Mark,"I understand you don’t feel it’s working out for you here at Lumon. While disappointed, I’d hate to keep you somewhere you’re not happy. So, let’s get you outta here.",1900-01-01 00:24:23,Helly
1,1,Good News About Hell (Transcript),Mark,Irv.,1900-01-01 00:24:39,Helly
1,1,Good News About Hell (Transcript),Mark,"The departments are pretty spaced out, but it’ll all fill in one day. They’re planning an expansion.",1900-01-01 00:25:03,Helly
1,1,Good News About Hell (Transcript),Helly,"And I’m, what, part of that?",1900-01-01 00:25:10,Mark
1,1,Good News About Hell (Transcript),Mark,No. You’re a replacement.,1900-01-01 00:25:12,Helly
1,1,Good News About Hell (Transcript),Helly,Replacement for who? Why are you saying that like you hate it?,1900-01-01 00:25:15,Mark
1,1,Good News About Hell (Transcript),Mark,Here’s your stairwell. Just past the bend.,1900-01-01 00:25:27,Helly
1,1,Good News About Hell (Transcript),Helly,You’re not coming with me?,1900-01-01 00:25:36,Mark
1,1,Good News About Hell (Transcript),Mark,I’m not allowed to see.,1900-01-01 00:25:38,Helly
1,1,Good News About Hell (Transcript),Helly,Excuse me?,1900-01-01 00:25:39,Mark
1,1,Good News About Hell (Transcript),Mark,"Well, once you leave, you… I just can’t watch you leave.",1900-01-01 00:25:41,Helly
1,1,Good News About Hell (Transcript),Helly,Of course you can’t.,1900-01-01 00:25:53,Mark
1,1,Good News About Hell (Transcript),Helly,What the hell?,1900-01-01 00:26:27,Mark
1,1,Good News About Hell (Transcript),Helly,Am I dead?,1900-01-01 00:27:21,Mark
1,1,Good News About Hell (Transcript),Mark,No.,1900-01-01 00:27:21,Helly
1,1,Good News About Hell (Transcript),Helly,"This isn’t, like, hell or something?",1900-01-01 00:27:24,Mark
1,1,Good News About Hell (Transcript),Mark,No.,1900-01-01 00:27:24,Helly
1,1,Good News About Hell (Transcript),Helly,Then why the fuck can’t I leave?,1900-01-01 00:27:27,Mark
1,1,Good News About Hell (Transcript),Mark,"Well, you did leave, just now. Out into the stairwell at least.",1900-01-01 00:27:29,Helly
1,1,Good News About Hell (Transcript),Mark,"You left, but you came back.",1900-01-01 00:27:32,Helly
1,1,Good News About Hell (Transcript),Helly,I did not.,1900-01-01 00:27:35,Mark
1,1,Good News About Hell (Transcript),Mark,You did. Come on.,1900-01-01 00:27:35,Helly
1,1,Good News About Hell (Transcript),Cobel,"Weaponizing office equipment on your first day. You are gonna be fun. Look, I do sympathize. I’ve wanted to pummel Mark myself, but I am his employer. And he is your department chief. So we’ll both have to be strong. The good news is, there’s only one part left of your orientation, which Mark can’t possibly derail.",1900-01-01 00:27:42,Helly
1,1,Good News About Hell (Transcript),Helly,Why is that?,1900-01-01 00:28:11,Cobel
1,1,Good News About Hell (Transcript),Cobel,Because it’s a video.,1900-01-01 00:28:12,Helly
1,1,Good News About Hell (Transcript),Cobel,"Welcome to Lumon, Helly.",1900-01-01 00:28:22,Helly
1,1,Good News About Hell (Transcript),Cobel,Have a seat.,1900-01-01 00:28:50,Mark
1,1,Good News About Hell (Transcript),Mark,Are you mad at me?,1900-01-01 00:29:10,Cobel
1,1,Good News About Hell (Transcript),Cobel,For the incompetence or the disobedience?,1900-01-01 00:29:13,Mark
1,1,Good News About Hell (Transcript),Mark,Well…,1900-01-01 00:29:18,Cobel
1,1,Good News About Hell (Transcript),Cobel,Yes!,1900-01-01 00:29:18,Mark
1,1,Good News About Hell (Transcript),Cobel,"You know, my mother was an atheist. She used to say that there was good news and bad news about hell. The good news is, hell is just the product of a morbid human imagination. The bad news is, whatever humans can imagine, they can usually create.",1900-01-01 00:29:22,Mark
1,1,Good News About Hell (Transcript),Mark,I don’t know what that means.,1900-01-01 00:29:47,Cobel
1,1,Good News About Hell (Transcript),Cobel,A department like yours can go so good or so bad. You know what makes the difference? The people.,1900-01-01 00:29:51,Mark
1,1,Good News About Hell (Transcript),Milchick,You can have a seat.,1900-01-01 00:30:16,Cobel
1,1,Good News About Hell (Transcript),Milchick,"Okay, go ahead and have a seat.",1900-01-01 00:30:31,Helly
1,1,Good News About Hell (Transcript),Helly,"My name is Helly R. I’m making this video roughly two hours before it will be shown to me. I have, of my own free accord, elected to undergo the procedure colloquially known as severance. I give consent for my perceptual chronologies to be surgically split, separating my memories between my work life and my personal life. I acknowledge that, henceforth, my access to my memories will be spatially dictated. I will be unable to access outside recollections whilst on Lumon’s severed basement floor, nor retain work memories upon my ascent. I am aware that this alteration is comprehensive and irreversible. I make these statements freely.",1900-01-01 00:30:44,Milchick
1,1,Good News About Hell (Transcript),Milchick,"Okay, that’s a wrap.",1900-01-01 00:31:44,Helly
1,1,Good News About Hell (Transcript),Milchick,Okay. Go ahead.,1900-01-01 00:31:54,Helly
1,1,Good News About Hell (Transcript),Helly,So I’ll never leave here?,1900-01-01 00:32:16,Mark
1,1,Good News About Hell (Transcript),Mark,"You’ll leave at 5:00. Well, actually, they stagger our exits, so 5:15. But it won’t feel like it. Not to this version of you anyway.",1900-01-01 00:32:20,Helly
1,1,Good News About Hell (Transcript),Helly,Do I have a family?,1900-01-01 00:32:31,Mark
1,1,Good News About Hell (Transcript),Mark,You’ll never know.,1900-01-01 00:32:33,Helly
